0,player,nodes,knowledge,controller,percent
42.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;2;0;0;0;0;1;0;1],[0;0;-1;0;-1;-1;-1;-1;1;-1;1],[100.000000;28.000000;0.000000;20.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
42.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;0;2;2;0;2;2;2;2;2],[-1;0;-1;0;-1;-1;1;1;1;1;1],[0.000000;28.000000;0.000000;20.000000;64.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
43.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;1;0;1],[0;0;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;20.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
43.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;1;2;2;0;2;2;2;2;2],[-1;0;-1;-1;-1;-1;1;1;1;1;1],[0.000000;20.000000;-88.000000;-12.000000;56.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
44.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;2;0;2],[0;0;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;12.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
44.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;0;-1;-1;-1;-1;1;1;1;1;1],[100.000000;12.000000;-88.000000;0.000000;48.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
45.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;2;0;2],[0;0;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
45.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;0;-1;-1;-1;-1;1;1;1;1;1],[100.000000;4.000000;-88.000000;0.000000;40.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
46.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;2],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;1],[100.000000;-4.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;-100.000000]
46.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-4.000000;-88.000000;0.000000;32.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
47.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[100.000000;-12.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000]
47.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-12.000000;-88.000000;0.000000;24.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
48.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[100.000000;-20.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000]
48.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;1;0;2;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-20.000000;-88.000000;0.000000;16.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
49.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;1;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[100.000000;-28.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000]
49.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;0;0;0;2;2;2;2;2],[0;-1;-1;-1;-1;-1;1;1;1;1;1],[100.000000;-28.000000;-96.000000;0.000000;0.000000;0.000000;-100.000000;-84.000000;-100.000000;-100.000000;-100.000000]
50.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;0;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;1;-1;-1],[96.800000;-12.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-24.000000;0.000000;0.000000]
50.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;0;1;0;2;2;2;2;2],[0;-1;1;-1;-1;-1;1;1;1;1;1],[96.800000;0.000000;-100.000000;0.000000;16.000000;0.000000;-100.000000;-84.000000;-24.000000;-100.000000;-100.000000]
51.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;2;0;0;1;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[93.600000;-4.000000;0.000000;0.000000;16.000000;0.000000;0.000000;0.000000;52.000000;0.000000;0.000000]
51.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;0;1;0;2;2;1;2;2],[0;-1;1;-1;-1;-1;1;1;-1;1;1],[93.600000;0.000000;-100.000000;0.000000;16.000000;0.000000;-100.000000;-84.000000;52.000000;-100.000000;-100.000000]
52.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;1;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[90.400000;0.000000;0.000000;0.000000;16.000000;0.000000;0.000000;0.000000;100.000000;0.000000;0.000000]
52.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;0;1;0;2;2;1;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[90.400000;0.000000;-100.000000;0.000000;16.000000;0.000000;-100.000000;-84.000000;100.000000;-100.000000;-100.000000]
53.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;1;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[87.200000;0.000000;0.000000;0.000000;16.000000;0.000000;0.000000;0.000000;100.000000;0.000000;0.000000]
53.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;0;1;0;2;2;1;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[87.200000;0.000000;-100.000000;0.000000;16.000000;0.000000;-100.000000;-84.000000;100.000000;-100.000000;-100.000000]
54.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;1;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[84.000000;0.000000;0.000000;0.000000;8.000000;0.000000;0.000000;0.000000;100.000000;0.000000;0.000000]
54.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;0;2;0;2;2;1;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[84.000000;0.000000;-100.000000;0.000000;8.000000;0.000000;-100.000000;-84.000000;100.000000;-100.000000;-100.000000]
55.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;2;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[80.800000;0.000000;0.000000;0.000000;24.000000;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000]
55.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;1;1;0;2;2;2;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[80.800000;0.000000;-100.000000;-12.000000;24.000000;0.000000;-100.000000;-84.000000;92.000000;-100.000000;-100.000000]
56.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;2;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[77.600000;0.000000;0.000000;0.000000;48.000000;0.000000;0.000000;0.000000;68.000000;0.000000;0.000000]
56.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;1;1;0;2;2;2;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[77.600000;0.000000;-100.000000;-12.000000;48.000000;0.000000;-100.000000;-84.000000;68.000000;-100.000000;-100.000000]
57.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;2;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[74.400000;0.000000;0.000000;0.000000;72.000000;0.000000;0.000000;0.000000;44.000000;0.000000;0.000000]
57.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;2;1;0;2;2;2;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[74.400000;0.000000;-100.000000;-20.000000;72.000000;0.000000;-100.000000;-96.000000;44.000000;-100.000000;-100.000000]
58.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;2;0;0;0;2;0;0],[0;-1;-1;-1;-1;-1;-1;-1;0;-1;-1],[71.200000;0.000000;0.000000;0.000000;72.000000;0.000000;0.000000;0.000000;20.000000;0.000000;0.000000]
58.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[2;0;2;2;2;0;2;2;2;2;2],[0;-1;1;-1;-1;-1;1;1;0;1;1],[71.200000;0.000000;-100.000000;-28.000000;72.000000;0.000000;-100.000000;-100.000000;20.000000;-100.000000;-100.000000]
59.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;2;0;0;1;2;0;0],[0;-1;-1;-1;-1;-1;-1;1;0;-1;-1],[71.200000;0.000000;0.000000;0.000000;72.000000;0.000000;0.000000;-100.000000;4.000000;0.000000;0.000000]
59.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;2;2;0;2;2;2;2;2],[-1;-1;1;-1;-1;-1;1;1;0;1;1],[0.000000;-4.000000;-100.000000;-36.000000;72.000000;0.000000;-100.000000;-100.000000;4.000000;-100.000000;-100.000000]
60.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;2;0;0;1;0;0;0],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;84.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
60.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;2;1;0;2;2;2;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-4.000000;-100.000000;-44.000000;84.000000;0.000000;-100.000000;-100.000000;-12.000000;-100.000000;-100.000000]
61.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;1;0;0;0],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
61.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;2;1;0;2;2;2;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-4.000000;-100.000000;-52.000000;84.000000;0.000000;-100.000000;-100.000000;-20.000000;-100.000000;-100.000000]
62.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;1;0;0;0],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
62.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;2;1;0;2;2;2;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-4.000000;-100.000000;-60.000000;84.000000;0.000000;-100.000000;-100.000000;-28.000000;-100.000000;-100.000000]
63.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;2;0;0;0],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
63.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;2;1;0;2;2;2;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-4.000000;-100.000000;-68.000000;84.000000;0.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
64.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;2;0;0;0],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
64.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;1;2;2;1;1;2;2;1;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-4.000000;-100.000000;-76.000000;84.000000;-32.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
65.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;2;0;0;0],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;0.000000]
65.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;2;0;1;1;2;2;1;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-20.000000;-100.000000;0.000000;84.000000;-32.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
66.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;2;0;0;1],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;-100.000000]
66.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;2;0;1;1;2;2;1;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-36.000000;-100.000000;0.000000;84.000000;-32.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
67.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;2;0;0;1],[0;-1;-1;-1;-1;-1;-1;1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000;0.000000;0.000000;-100.000000]
67.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;2;0;1;2;2;2;1;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-52.000000;-100.000000;0.000000;84.000000;-40.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
68.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;1],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
68.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;2;0;1;2;2;2;1;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-68.000000;-100.000000;0.000000;84.000000;-48.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
69.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;1],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
69.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[0;2;2;0;1;2;2;2;1;2;2],[-1;-1;1;-1;-1;-1;1;1;-1;1;1],[0.000000;-84.000000;-100.000000;0.000000;84.000000;-56.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
70.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;1],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
70.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;0;1;2;2;2;1;2;2],[0;1;1;-1;-1;-1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;0.000000;84.000000;-64.000000;-100.000000;-100.000000;-36.000000;-100.000000;-100.000000]
71.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;1],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-100.000000]
71.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;0;1;2;2;2;2;2;2],[0;1;1;-1;-1;-1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;0.000000;84.000000;-72.000000;-100.000000;-100.000000;-44.000000;-100.000000;-100.000000]
72.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-92.000000]
72.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;0;1;2;2;2;2;2;2],[0;1;1;-1;-1;-1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;0.000000;84.000000;-80.000000;-100.000000;-100.000000;-52.000000;-100.000000;-92.000000]
73.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-77.600000]
73.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;0;2;2;2;2;2;2;2],[0;1;1;-1;-1;-1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;0.000000;68.000000;-88.000000;-100.000000;-100.000000;-60.000000;-100.000000;-77.600000]
74.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-57.600000]
74.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;1;2;2;2;2;2;2;2],[0;1;1;-1;-1;-1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;-76.000000;52.000000;-96.000000;-100.000000;-100.000000;-68.000000;-100.000000;-57.600000]
75.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-37.600000]
75.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;1;2;2;2;2;2;2;2],[0;1;1;-1;-1;1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;-76.000000;20.000000;-100.000000;-100.000000;-100.000000;-76.000000;-100.000000;-37.600000]
76.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-17.600000]
76.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;2;2;2;2;1;2;2],[0;1;1;-1;-1;1;1;1;-1;1;1],[71.200000;-100.000000;-100.000000;-84.000000;4.000000;-100.000000;-100.000000;-100.000000;-76.000000;-100.000000;-17.600000]
77.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;2.400000]
77.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;2;2;2;2;2;2;1],[0;1;1;-1;-1;1;1;1;-1;1;-1],[71.200000;-100.000000;-100.000000;-92.000000;-12.000000;-100.000000;-100.000000;-100.000000;-84.000000;-100.000000;2.400000]
78.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;22.400000]
78.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;2;2;2;2;1;2;1],[0;1;1;1;-1;1;1;1;-1;1;-1],[71.200000;-100.000000;-100.000000;-100.000000;-28.000000;-100.000000;-100.000000;-100.000000;-84.000000;-100.000000;22.400000]
79.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;42.400000]
79.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;1;2;2;2;1;2;1],[0;1;1;1;-1;1;1;1;-1;1;-1],[71.200000;-100.000000;-100.000000;-100.000000;-28.000000;-100.000000;-100.000000;-100.000000;-84.000000;-100.000000;42.400000]
80.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;62.400000]
80.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;1;2;2;2;1;2;1],[0;1;1;1;-1;1;1;1;-1;1;-1],[71.200000;-100.000000;-100.000000;-100.000000;-28.000000;-100.000000;-100.000000;-100.000000;-84.000000;-100.000000;62.400000]
81.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;82.400000]
81.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;1;2;2;2;2;2;1],[0;1;1;1;-1;1;1;1;-1;1;-1],[71.200000;-100.000000;-100.000000;-100.000000;-28.000000;-100.000000;-100.000000;-100.000000;-96.000000;-100.000000;82.400000]
82.000000,0,[1;2;3;4;5;6;7;8;9;10;11],[2;0;0;0;0;0;0;0;0;0;2],[0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0],[71.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;100.000000]
82.000000,1,[1;2;3;4;5;6;7;8;9;10;11],[1;2;2;2;1;2;2;2;2;2;1],[0;1;1;1;-1;1;1;1;1;1;0],[71.200000;-100.000000;-100.000000;-100.000000;-28.000000;-100.000000;-100.000000;-100.000000;-100.000000;-100.000000;100.000000]
